"","dr_no","date_rptd","date_occ","time_occ","area","area_name","rpt_dist_no","part_1_2","crm_cd","crm_cd_desc","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","status","status_desc","crm_cd_1","crm_cd_2","location","lat","lon","mocodes","cross_street","weapon_used_cd","weapon_desc","crm_cd_3","crm_cd_4"
"1","190326475","2020-03-01T00:00:00.000","2020-03-01T00:00:00.000","2130","07","Wilshire","0784","1","510","VEHICLE - STOLEN","0","M","O","101","STREET","AA","Adult Arrest","510","998","1900 S  LONGWOOD                     AV","34.0375","-118.3506",NA,NA,NA,NA,NA,NA
"2","200106753","2020-02-09T00:00:00.000","2020-02-08T00:00:00.000","1800","01","Central","0182","1","330","BURGLARY FROM VEHICLE","47","M","O","128","BUS STOP/LAYOVER (ALSO QUERY 124)","IC","Invest Cont","330","998","1000 S  FLOWER                       ST","34.0444","-118.2628","1822 1402 0344",NA,NA,NA,NA,NA
"3","200320258","2020-11-11T00:00:00.000","2020-11-04T00:00:00.000","1700","03","Southwest","0356","1","480","BIKE - STOLEN","19","X","X","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont","480",NA,"1400 W  37TH                         ST","34.021","-118.3002","0344 1251",NA,NA,NA,NA,NA
"4","200907217","2023-05-10T00:00:00.000","2020-03-10T00:00:00.000","2037","09","Van Nuys","0964","1","343","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","19","M","O","405","CLOTHING STORE","IC","Invest Cont","343",NA,"14000    RIVERSIDE                    DR","34.1576","-118.4387","0325 1501",NA,NA,NA,NA,NA
"5","200412582","2020-09-09T00:00:00.000","2020-09-09T00:00:00.000","0630","04","Hollenbeck","0413","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"200 E  AVENUE 28","34.082","-118.213",NA,NA,NA,NA,NA,NA
"6","200209713","2020-05-03T00:00:00.000","2020-05-02T00:00:00.000","1800","02","Rampart","0245","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"2500 W  4TH                          ST","34.0642","-118.2771",NA,NA,NA,NA,NA,NA
"7","200200759","2020-07-07T00:00:00.000","2020-07-07T00:00:00.000","1340","02","Rampart","0265","1","648","ARSON","0","X","X","101","STREET","IC","Invest Cont","648","998","JAMES M WOOD","34.0536","-118.2788","0329 1402 2004 1501","ALVARADO",NA,NA,NA,NA
"8","201308739","2020-03-27T00:00:00.000","2020-03-27T00:00:00.000","1210","13","Newton","1333","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"3200 S  SAN PEDRO                    ST","34.017","-118.2643",NA,NA,NA,NA,NA,NA
"9","201112065","2020-07-31T00:00:00.000","2020-07-30T00:00:00.000","2030","11","Northeast","1161","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","AA","Adult Arrest","510",NA,"KENMORE                      ST","34.0953","-118.2974",NA,"FOUNTAIN",NA,NA,NA,NA
"10","200121929","2020-12-04T00:00:00.000","2020-12-03T00:00:00.000","2300","01","Central","0105","1","510","VEHICLE - STOLEN","0",NA,NA,"101","STREET","IC","Invest Cont","510",NA,"400    SOLANO                       AV","34.071","-118.2302",NA,NA,NA,NA,NA,NA
